rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
null,image-cpt,120,385048,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,121,387280,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,122,390009,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,123,392245,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,124,394965,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,125,398175,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,126,400394,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,127,402112,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,128,404347,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,129,406064,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,130,407779,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,131,411010,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,132,413720,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,133,416460,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,134,418698,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,135,421930,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,136,424158,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,137,427385,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,138,429612,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,139,432335,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,140,435066,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,141,437283,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,142,440510,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,143,442750,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,144,444976,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,145,446689,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,146,449924,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,147,453141,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,148,455359,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,149,457076,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,150,458785,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,151,461514,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,152,463743,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,153,465956,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,154,469190,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,155,470903,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,156,474126,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,157,475860,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,158,478583,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,159,481314,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,160,483035,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,161,484750,,,null,FALSE,,,,,,,,,,,,
