rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
539,image-cpt,143,517653,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,144,520385,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,145,522621,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,146,524344,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,147,527073,,null,FALSE,,,,,,,,,,,,,,,
454,image-cpt,148,528787,,32,TRUE,,,,,,,,,,,,,,,
659,image-cpt,149,532017,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,150,534225,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,151,535952,,null,FALSE,,,,,,,,,,,,,,,
455,image-cpt,152,537693,,32,TRUE,,,,,,,,,,,,,,,
520,image-cpt,153,539925,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,154,543142,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,155,544867,,null,FALSE,,,,,,,,,,,,,,,
500,image-cpt,156,546595,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,157,548824,,null,FALSE,,,,,,,,,,,,,,,
383,image-cpt,158,551537,,32,TRUE,,,,,,,,,,,,,,,
389,image-cpt,159,554256,,32,TRUE,,,,,,,,,,,,,,,
359,image-cpt,160,557469,,32,TRUE,,,,,,,,,,,,,,,
363,image-cpt,161,559692,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,162,561420,,null,FALSE,,,,,,,,,,,,,,,
411,image-cpt,163,564132,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,164,566853,,null,FALSE,,,,,,,,,,,,,,,
451,image-cpt,165,569566,,32,TRUE,,,,,,,,,,,,,,,
346,image-cpt,166,572792,,32,TRUE,,,,,,,,,,,,,,,
382,image-cpt,167,575006,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,168,577732,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,169,579474,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,170,581690,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,171,584420,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,172,586126,,null,FALSE,,,,,,,,,,,,,,,
457,image-cpt,173,587847,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,174,590558,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,175,593781,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,176,595511,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,177,598725,,null,FALSE,,,,,,,,,,,,,,,
435,image-cpt,178,600944,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,179,602663,,null,FALSE,,,,,,,,,,,,,,,
496,image-cpt,180,605878,,32,FALSE,,,,,,,,,,,,,,,
null,image-cpt,181,609105,,null,FALSE,,,,,,,,,,,,,,,
503,image-cpt,182,611314,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,183,613036,,null,FALSE,,,,,,,,,,,,,,,
524,image-cpt,184,616263,,32,TRUE,,,,,,,,,,,,,,,
432,image-cpt,185,618984,,32,TRUE,,,,,,,,,,,,,,,
543,image-cpt,186,622202,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,187,625415,,null,FALSE,,,,,,,,,,,,,,,
449,image-cpt,188,627149,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,189,628858,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,190,632081,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,191,634308,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,192,636533,,null,FALSE,,,,,,,,,,,,,,,
786,image-cpt,193,638253,,32,FALSE,,,,,,,,,,,,,,,
null,image-cpt,194,639986,,null,FALSE,,,,,,,,,,,,,,,
469,image-cpt,195,643216,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,196,644927,,null,FALSE,,,,,,,,,,,,,,,
488,image-cpt,197,646645,,32,TRUE,,,,,,,,,,,,,,,
578,image-cpt,198,649354,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,199,652585,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,200,655311,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,201,658518,,null,FALSE,,,,,,,,,,,,,,,
578,image-cpt,202,661243,,32,TRUE,,,,,,,,,,,,,,,
524,image-cpt,203,662966,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,204,665684,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,205,668895,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,206,671610,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,207,673826,,null,FALSE,,,,,,,,,,,,,,,
437,image-cpt,208,676052,,32,TRUE,,,,,,,,,,,,,,,
516,image-cpt,209,678763,,32,TRUE,,,,,,,,,,,,,,,
588,image-cpt,210,681996,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,211,684728,,null,FALSE,,,,,,,,,,,,,,,
640,image-cpt,212,687434,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,213,689658,,null,FALSE,,,,,,,,,,,,,,,
413,image-cpt,214,692381,,32,TRUE,,,,,,,,,,,,,,,
618,image-cpt,215,694599,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,216,697315,,null,FALSE,,,,,,,,,,,,,,,
533,image-cpt,217,699537,,32,TRUE,,,,,,,,,,,,,,,
550,image-cpt,218,702752,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,219,705973,,null,FALSE,,,,,,,,,,,,,,,
579,image-cpt,220,708704,,32,TRUE,,,,,,,,,,,,,,,
535,image-cpt,221,710933,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,222,712669,,null,FALSE,,,,,,,,,,,,,,,
523,image-cpt,223,714390,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,224,717106,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,225,719832,,null,FALSE,,,,,,,,,,,,,,,
495,image-cpt,226,722066,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,227,723796,,null,FALSE,,,,,,,,,,,,,,,
435,image-cpt,228,727030,,32,TRUE,,,,,,,,,,,,,,,
449,image-cpt,229,730256,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,230,732982,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,231,735700,,null,FALSE,,,,,,,,,,,,,,,
516,image-cpt,232,737915,,32,TRUE,,,,,,,,,,,,,,,
669,image-cpt,233,740136,,32,TRUE,,,,,,,,,,,,,,,
575,image-cpt,234,743374,,32,TRUE,,,,,,,,,,,,,,,
682,image-cpt,235,745599,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,236,747311,,null,FALSE,,,,,,,,,,,,,,,
408,image-cpt,237,750529,,32,TRUE,,,,,,,,,,,,,,,
359,image-cpt,238,752742,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,239,754481,,null,FALSE,,,,,,,,,,,,,,,
550,image-cpt,240,757219,,32,TRUE,,,,,,,,,,,,,,,
421,image-cpt,241,759461,,32,TRUE,,,,,,,,,,,,,,,
15987,instructions,242,775448,,,,,,,,,,,,,,,,,,
65367,survey-likert,243,840816,"{""Q0"":2,""Q1"":2,""Q2"":0}",,,,,,,,,,,,,,,,,
